YEAR,ACPR_CODE_2018,ACPR_NAME_2018,STATE,CARE_TYPE,total_admissions,pct_indigenous,pct_female,pct_cald
2024,511,Wheatbelt,WA,Home care,245,0.0,0.5836734693877551,0.04897959183673469
2024,511,Wheatbelt,WA,Permanent residential care,123,0.0,0.5609756097560976,0.06504065040650407
2024,511,Wheatbelt,WA,Respite residential care,113,0.0,0.49557522123893805,0.05309734513274336
2024,601,North Western,TAS,Home care,525,0.0,0.6038095238095238,0.030476190476190476
2024,601,North Western,TAS,Permanent residential care,461,0.0,0.544468546637744,0.028199566160520606
2024,601,North Western,TAS,Respite residential care,577,0.0,0.608318890814558,0.01559792027729636
2024,601,North Western,TAS,Short-term restorative care,81,0.0,0.5802469135802469,0.0
2024,601,North Western,TAS,Transition care,35,0.0,0.45714285714285713,0.14285714285714285
2024,602,Northern,TAS,Home care,727,0.0,0.6396148555708391,0.06327372764786796
2024,602,Northern,TAS,Permanent residential care,569,0.0,0.5852372583479789,0.0210896309314587
2024,602,Northern,TAS,Respite residential care,735,0.0,0.6027210884353742,0.024489795918367346
2024,602,Northern,TAS,Short-term restorative care,65,0.0,0.6,0.015384615384615385
2024,602,Northern,TAS,Transition care,111,0.0,0.6486486486486487,0.04504504504504504
2024,603,Southern,TAS,Home care,1131,0.0,0.6507515473032714,0.036251105216622455
2024,603,Southern,TAS,Permanent residential care,847,0.0,0.5926800472255017,0.04132231404958678
2024,603,Southern,TAS,Respite residential care,980,0.0,0.5581632653061225,0.04183673469387755
2024,603,Southern,TAS,Short-term restorative care,132,0.0,0.5681818181818182,0.030303030303030304
2024,603,Southern,TAS,Transition care,249,0.0,0.5622489959839357,0.028112449799196786
2024,701,Alice Springs,NT,Home care,58,0.0,0.6206896551724138,0.20689655172413793
2024,701,Alice Springs,NT,Permanent residential care,82,0.0,0.6829268292682927,0.6219512195121951
2024,701,Alice Springs,NT,Respite residential care,68,0.0,0.6764705882352942,0.47058823529411764
2024,701,Alice Springs,NT,Short-term restorative care,2,0.0,0.0,1.0
