sa3_code,sa3_name,year,permanent,respite,total_residential,hcp_level1,hcp_level2,hcp_level3,hcp_level4,total_homecare,total_users,hcp_high_needs,pct_hcp_high
11902.0,Canterbury,2024,749.0,47.0,796.0,63,734,666,341,1804,2600.0,1007,0.5582039911308204
11902.0,Canterbury,2025,816.0,50.0,866.0,56,690,783,375,1904,2770.0,1158,0.6081932773109243
11903.0,Hurstville,2024,1149.0,83.0,1232.0,111,815,683,186,1795,3027.0,869,0.4841225626740947
11903.0,Hurstville,2025,1188.0,55.0,1243.0,81,806,831,258,1976,3219.0,1089,0.5511133603238867
11904.0,Kogarah - Rockdale,2024,1269.0,82.0,1351.0,68,767,567,190,1592,2943.0,757,0.47550251256281406
11904.0,Kogarah - Rockdale,2025,1293.0,80.0,1373.0,54,716,709,233,1712,3085.0,942,0.5502336448598131
12001.0,Canada Bay,2024,635.0,39.0,674.0,32,355,304,152,843,1517.0,456,0.5409252669039146
12001.0,Canada Bay,2025,638.0,34.0,672.0,27,313,332,181,853,1525.0,513,0.6014067995310668
12002.0,Leichhardt,2024,326.0,9.0,335.0,12,155,133,61,361,696.0,194,0.5373961218836565
12002.0,Leichhardt,2025,326.0,6.0,332.0,8,125,151,65,349,681.0,216,0.6189111747851003
12003.0,Strathfield - Burwood - Ashfield,2024,1472.0,60.0,1532.0,62,714,647,301,1724,3256.0,948,0.5498839907192575
12003.0,Strathfield - Burwood - Ashfield,2025,1371.0,54.0,1425.0,52,627,701,327,1707,3132.0,1028,0.6022261277094317
12101.0,Chatswood - Lane Cove,2024,743.0,41.0,784.0,62,380,260,161,863,1647.0,421,0.48783314020857477
12101.0,Chatswood - Lane Cove,2025,816.0,21.0,837.0,53,367,303,192,915,1752.0,495,0.5409836065573771
12102.0,Hornsby,2024,752.0,44.0,796.0,81,383,228,123,815,1611.0,351,0.4306748466257669
12102.0,Hornsby,2025,819.0,49.0,868.0,66,351,286,137,840,1708.0,423,0.5035714285714286
12103.0,Ku-ring-gai,2024,1233.0,53.0,1286.0,114,486,341,194,1135,2421.0,535,0.4713656387665198
12103.0,Ku-ring-gai,2025,1405.0,56.0,1461.0,103,429,343,227,1102,2563.0,570,0.5172413793103449
12104.0,North Sydney - Mosman,2024,420.0,40.0,460.0,32,233,207,126,598,1058.0,333,0.5568561872909699
12104.0,North Sydney - Mosman,2025,487.0,17.0,504.0,36,215,220,133,604,1108.0,353,0.5844370860927153
12201.0,Manly,2024,162.0,6.0,168.0,24,89,73,49,235,403.0,122,0.5191489361702127
12201.0,Manly,2025,158.0,8.0,166.0,21,78,67,51,217,383.0,118,0.543778801843318
12202.0,Pittwater,2024,605.0,22.0,627.0,59,276,162,103,600,1227.0,265,0.44166666666666665
12202.0,Pittwater,2025,584.0,14.0,598.0,50,227,172,107,556,1154.0,279,0.5017985611510791
12203.0,Warringah,2024,1305.0,68.0,1373.0,148,664,403,242,1457,2830.0,645,0.4426904598490048
12203.0,Warringah,2025,1334.0,50.0,1384.0,144,608,412,268,1432,2816.0,680,0.4748603351955307
12301.0,Camden,2024,501.0,16.0,517.0,39,110,85,30,264,781.0,115,0.4356060606060606
12301.0,Camden,2025,500.0,27.0,527.0,33,106,96,26,261,788.0,122,0.4674329501915709
12302.0,Campbelltown (NSW),2024,1007.0,81.0,1088.0,131,467,301,92,991,2079.0,393,0.39656912209889
12302.0,Campbelltown (NSW),2025,1234.0,48.0,1282.0,110,453,350,102,1015,2297.0,452,0.44532019704433495
12303.0,Wollondilly,2024,247.0,8.0,255.0,37,86,70,20,213,468.0,90,0.4225352112676056
12303.0,Wollondilly,2025,249.0,11.0,260.0,31,75,70,21,197,457.0,91,0.4619289340101523
12401.0,Blue Mountains,2024,595.0,20.0,615.0,43,370,276,114,803,1418.0,390,0.48567870485678705
12401.0,Blue Mountains,2025,634.0,16.0,650.0,38,351,271,147,807,1457.0,418,0.5179677819083024
12403.0,Penrith,2024,962.0,40.0,1002.0,61,494,445,162,1162,2164.0,607,0.5223752151462995
12403.0,Penrith,2025,975.0,25.0,1000.0,56,476,451,178,1161,2161.0,629,0.5417743324720069
