sa3_code,sa3_name,year,residential_users,home_care_users,total_users
30403,Sherwood - Indooroopilly,2024,387,266,653
30403,Sherwood - Indooroopilly,2025,323,296,619
30404,The Gap - Enoggera,2023,548,387,935
30404,The Gap - Enoggera,2024,560,391,951
30404,The Gap - Enoggera,2025,553,415,968
30501,Brisbane Inner,2023,485,276,761
30501,Brisbane Inner,2024,397,276,673
30501,Brisbane Inner,2025,414,298,712
30502,Brisbane Inner - East,2023,247,154,401
30502,Brisbane Inner - East,2024,248,157,405
30502,Brisbane Inner - East,2025,106,154,260
30503,Brisbane Inner - North,2023,635,431,1066
30503,Brisbane Inner - North,2024,722,448,1170
30503,Brisbane Inner - North,2025,751,488,1239
30504,Brisbane Inner - West,2023,175,253,428
30504,Brisbane Inner - West,2024,243,251,494
30504,Brisbane Inner - West,2025,271,281,552
30601,Cairns - North,2023,400,486,886
30601,Cairns - North,2024,403,574,977
30601,Cairns - North,2025,408,661,1069
30602,Cairns - South,2023,950,1119,2069
30602,Cairns - South,2024,955,1295,2250
30602,Cairns - South,2025,969,1472,2441
30603,Innisfail - Cassowary Coast,2023,239,387,626
30603,Innisfail - Cassowary Coast,2024,244,569,813
30603,Innisfail - Cassowary Coast,2025,238,663,901
30604,Port Douglas - Daintree,2023,95,144,239
30604,Port Douglas - Daintree,2024,108,186,294
30604,Port Douglas - Daintree,2025,112,228,340
30605,Tablelands (East) - Kuranda,2023,254,575,829
30605,Tablelands (East) - Kuranda,2024,253,679,932
30605,Tablelands (East) - Kuranda,2025,257,769,1026
30701,"Darling Downs (West) -
Maranoa",2023,299,299,598
30701,Darling Downs (West) - Maranoa,2024,302,319,621
30701,Darling Downs (West) - Maranoa,2025,311,310,621
30702,Darling Downs - East,2023,458,552,1010
30702,Darling Downs - East,2024,498,597,1095
30702,Darling Downs - East,2025,463,605,1068
30703,Granite Belt,2023,450,649,1099
30703,Granite Belt,2024,477,673,1150
30703,Granite Belt,2025,498,658,1156
30801,Central Highlands (Qld),2023,56,124,180
30801,Central Highlands (Qld),2024,51,140,191
30801,Central Highlands (Qld),2025,46,155,201
30803,Rockhampton,2023,960,2104,3064
30803,Rockhampton,2024,960,2222,3182
30803,Rockhampton,2025,979,2450,3429
30804,Biloela,2023,86,127,213
30804,Biloela,2024,88,133,221
30804,Biloela,2025,91,148,239
30805,Gladstone,2023,210,524,734
30805,Gladstone,2024,212,551,763
30805,Gladstone,2025,213,671,884
30901,Broadbeach - Burleigh,2023,426,493,919
30901,Broadbeach - Burleigh,2024,419,484,903
30901,Broadbeach - Burleigh,2025,433,533,966
30902,Coolangatta,2023,464,412,876
30902,Coolangatta,2024,478,417,895
30902,Coolangatta,2025,472,422,894
30903,Gold Coast - North,2023,992,783,1775
30903,Gold Coast - North,2024,1017,746,1763
30903,Gold Coast - North,2025,990,779,1769
30904,Gold Coast Hinterland,2023,35,124,159
30904,Gold Coast Hinterland,2024,37,117,154
30904,Gold Coast Hinterland,2025,40,120,160
30905,Mudgeeraba - Tallebudgera,2023,358,150,508
30905,Mudgeeraba - Tallebudgera,2024,364,147,511
30905,Mudgeeraba - Tallebudgera,2025,368,160,528
30906,Nerang,2023,77,461,538
30906,Nerang,2024,220,475,695
30906,Nerang,2025,216,497,713
30907,Ormeau - Oxenford,2023,737,673,1410
30907,Ormeau - Oxenford,2024,740,686,1426
30907,Ormeau - Oxenford,2025,721,729,1450
30908,Robina,2023,795,459,1254
30908,Robina,2024,673,439,1112
30908,Robina,2025,683,432,1115
30909,Southport,2023,1032,626,1658
30909,Southport,2024,1044,615,1659
30909,Southport,2025,1008,621,1629
30910,Surfers Paradise,2023,54,275,329
30910,Surfers Paradise,2024,51,278,329
30910,Surfers Paradise,2025,74,282,356
31001,Forest Lake - Oxley,2023,351,702,1053
31001,Forest Lake - Oxley,2024,353,753,1106
31001,Forest Lake - Oxley,2025,448,807,1255
31002,Ipswich Hinterland,2023,359,536,895
31002,Ipswich Hinterland,2024,361,608,969
31002,Ipswich Hinterland,2025,378,635,1013
31003,Ipswich Inner,2023,891,658,1549
31003,Ipswich Inner,2024,906,734,1640
31003,Ipswich Inner,2025,905,790,1695
31004,Springfield - Redbank,2023,0,388,388
