YEAR,ACPR_CODE_2018,ACPR_NAME_2018,CARE_TYPE,INDIGENOUS_STATUS,count
2024,203,Gippsland,Transition care,Non-Indigenous,100
2024,203,Gippsland,Transition care,Unknown,39
2024,204,Grampians,Home care,Indigenous,15
2024,204,Grampians,Home care,Non-Indigenous,563
2024,204,Grampians,Home care,Unknown,33
2024,204,Grampians,Permanent residential care,Indigenous,6
2024,204,Grampians,Permanent residential care,Non-Indigenous,913
2024,204,Grampians,Permanent residential care,Unknown,132
2024,204,Grampians,Respite residential care,Indigenous,3
2024,204,Grampians,Respite residential care,Non-Indigenous,1029
2024,204,Grampians,Respite residential care,Unknown,78
2024,204,Grampians,Short-term restorative care,Indigenous,3
2024,204,Grampians,Short-term restorative care,Non-Indigenous,140
2024,204,Grampians,Short-term restorative care,Unknown,41
2024,204,Grampians,Transition care,Indigenous,1
2024,204,Grampians,Transition care,Non-Indigenous,136
2024,204,Grampians,Transition care,Unknown,44
2024,205,Hume,Home care,Indigenous,40
2024,205,Hume,Home care,Non-Indigenous,958
2024,205,Hume,Home care,Unknown,72
2024,205,Hume,Permanent residential care,Indigenous,4
2024,205,Hume,Permanent residential care,Non-Indigenous,976
2024,205,Hume,Permanent residential care,Unknown,157
2024,205,Hume,Respite residential care,Indigenous,7
2024,205,Hume,Respite residential care,Non-Indigenous,1442
2024,205,Hume,Respite residential care,Unknown,177
2024,205,Hume,Short-term restorative care,Indigenous,4
2024,205,Hume,Short-term restorative care,Non-Indigenous,155
2024,205,Hume,Short-term restorative care,Unknown,52
2024,205,Hume,Transition care,Indigenous,1
2024,205,Hume,Transition care,Non-Indigenous,188
2024,205,Hume,Transition care,Unknown,74
2024,206,Loddon-Mallee,Home care,Indigenous,17
2024,206,Loddon-Mallee,Home care,Non-Indigenous,693
2024,206,Loddon-Mallee,Home care,Unknown,57
2024,206,Loddon-Mallee,Permanent residential care,Indigenous,10
2024,206,Loddon-Mallee,Permanent residential care,Non-Indigenous,1199
2024,206,Loddon-Mallee,Permanent residential care,Unknown,217
2024,206,Loddon-Mallee,Respite residential care,Indigenous,17
2024,206,Loddon-Mallee,Respite residential care,Non-Indigenous,1477
2024,206,Loddon-Mallee,Respite residential care,Unknown,207
2024,206,Loddon-Mallee,Short-term restorative care,Indigenous,2
2024,206,Loddon-Mallee,Short-term restorative care,Non-Indigenous,27
2024,206,Loddon-Mallee,Short-term restorative care,Unknown,6
2024,206,Loddon-Mallee,Transition care,Indigenous,2
2024,206,Loddon-Mallee,Transition care,Non-Indigenous,242
2024,206,Loddon-Mallee,Transition care,Unknown,70
2024,207,Northern Metro,Home care,Indigenous,19
2024,207,Northern Metro,Home care,Non-Indigenous,2707
2024,207,Northern Metro,Home care,Unknown,242
2024,207,Northern Metro,Permanent residential care,Indigenous,4
2024,207,Northern Metro,Permanent residential care,Non-Indigenous,2120
2024,207,Northern Metro,Permanent residential care,Unknown,325
2024,207,Northern Metro,Respite residential care,Indigenous,7
2024,207,Northern Metro,Respite residential care,Non-Indigenous,3631
2024,207,Northern Metro,Respite residential care,Unknown,412
2024,207,Northern Metro,Short-term restorative care,Indigenous,1
2024,207,Northern Metro,Short-term restorative care,Non-Indigenous,242
2024,207,Northern Metro,Short-term restorative care,Unknown,51
2024,207,Northern Metro,Transition care,Indigenous,1
2024,207,Northern Metro,Transition care,Non-Indigenous,352
2024,207,Northern Metro,Transition care,Unknown,70
2024,208,Southern Metro,Home care,Indigenous,43
2024,208,Southern Metro,Home care,Non-Indigenous,4465
2024,208,Southern Metro,Home care,Unknown,465
2024,208,Southern Metro,Permanent residential care,Indigenous,10
2024,208,Southern Metro,Permanent residential care,Non-Indigenous,3896
2024,208,Southern Metro,Permanent residential care,Unknown,765
2024,208,Southern Metro,Respite residential care,Indigenous,19
2024,208,Southern Metro,Respite residential care,Non-Indigenous,5927
2024,208,Southern Metro,Respite residential care,Unknown,884
2024,208,Southern Metro,Short-term restorative care,Indigenous,1
2024,208,Southern Metro,Short-term restorative care,Non-Indigenous,34
2024,208,Southern Metro,Short-term restorative care,Unknown,19
2024,208,Southern Metro,Transition care,Indigenous,4
2024,208,Southern Metro,Transition care,Non-Indigenous,590
2024,208,Southern Metro,Transition care,Unknown,152
2024,209,Western Metro,Home care,Indigenous,40
2024,209,Western Metro,Home care,Non-Indigenous,2205
2024,209,Western Metro,Home care,Unknown,183
2024,209,Western Metro,Permanent residential care,Indigenous,5
2024,209,Western Metro,Permanent residential care,Non-Indigenous,1726
2024,209,Western Metro,Permanent residential care,Unknown,293
2024,209,Western Metro,Respite residential care,Indigenous,21
2024,209,Western Metro,Respite residential care,Non-Indigenous,3058
2024,209,Western Metro,Respite residential care,Unknown,398
2024,209,Western Metro,Short-term restorative care,Indigenous,4
2024,209,Western Metro,Short-term restorative care,Non-Indigenous,309
2024,209,Western Metro,Short-term restorative care,Unknown,74
2024,209,Western Metro,Transition care,Non-Indigenous,416
2024,209,Western Metro,Transition care,Unknown,84
2024,301,Brisbane North,Home care,Indigenous,196
2024,301,Brisbane North,Home care,Non-Indigenous,6407
2024,301,Brisbane North,Home care,Unknown,657
2024,301,Brisbane North,Permanent residential care,Indigenous,8
2024,301,Brisbane North,Permanent residential care,Non-Indigenous,1355
